date,lat[unit="degrees_north"],lon[unit="degrees_east"],cft[unit="1"],dir[unit="degree"],mod[unit="m s-1"],prec[unit="kg m-2"],rh[unit="1"],t2m[unit="K"],u[unit="m s-1"],v[unit="m s-1"]
2012-03-09T01:00:00Z,43.339286234347675,-5.858834520544583,0.98,83.29932,4.422265,0,0.77802736,279.1788,-4.392058,-0.516001
2012-03-09T02:00:00Z,43.339286234347675,-5.858834520544583,0.98,76.76914,3.7497065,0,0.7893508,278.80643,-3.6501734,-0.85821533
2012-03-09T03:00:00Z,43.339286234347675,-5.858834520544583,1.0,82.46141,2.7139063,0,0.8263328,278.4917,-2.6904492,-0.35604736
2012-03-09T04:00:00Z,43.339286234347675,-5.858834520544583,1.0,100.271034,2.88579,0,0.8303914,278.2138,-2.839546,0.5145508
2012-03-09T05:00:00Z,43.339286234347675,-5.858834520544583,1.0,80.17366,3.78001,0,0.7776125,278.90292,-3.7245557,-0.645105
2012-03-09T06:00:00Z,43.339286234347675,-5.858834520544583,1.0,77.62706,3.9511757,0,0.78436136,278.79324,-3.8594043,-0.8466333
2012-03-09T07:00:00Z,43.339286234347675,-5.858834520544583,0,74.87133,3.5980756,0,0.8019453,278.57874,-3.4733741,-0.93905276
2012-03-09T08:00:00Z,43.339286234347675,-5.858834520544583,0,80.41892,2.9604652,0,0.74742967,280.2707,-2.91917,-0.49274904
2012-03-09T09:00:00Z,43.339286234347675,-5.858834520544583,0,70.15864,2.598882,0,0.67670435,282.45175,-2.444602,-0.8821045
2012-03-09T10:00:00Z,43.339286234347675,-5.858834520544583,0,61.297752,3.1949477,0,0.6278616,284.72726,-2.8023756,-1.5343994
2012-03-09T11:00:00Z,43.339286234347675,-5.858834520544583,0,55.21473,3.4604616,0,0.5877652,286.63745,-2.842063,-1.9742017
2012-03-09T12:00:00Z,43.339286234347675,-5.858834520544583,0,58.39301,3.6474364,0,0.57196593,287.83707,-3.1063867,-1.9115845
2012-03-09T13:00:00Z,43.339286234347675,-5.858834520544583,0,55.215412,4.2933264,0,0.59481025,288.432,-3.5261207,-2.4493115
2012-03-09T14:00:00Z,43.339286234347675,-5.858834520544583,0,55.936626,4.4513087,0,0.6123409,288.49194,-3.6875465,-2.4932203
2012-03-09T15:00:00Z,43.339286234347675,-5.858834520544583,0,56.21161,4.3245077,0,0.6313671,288.2722,-3.594087,-2.4049757
2012-03-09T16:00:00Z,43.339286234347675,-5.858834520544583,0,53.800636,4.2132444,0,0.6681603,287.65088,-3.3999488,-2.4883277
