date,lat[unit="degrees_north"],lon[unit="degrees_east"],cft[unit="1"],dir[unit="degree"],mod[unit="m s-1"],prec[unit="kg m-2"],rh[unit="1"],t2m[unit="K"],u[unit="m s-1"],v[unit="m s-1"]
2012-03-07T01:00:00Z,43.339286234347675,-5.858834520544583,1.0,143.01309,1.2303321,0,0.8009344,276.561,-0.7402075,0.9827564
2012-03-07T02:00:00Z,43.339286234347675,-5.858834520544583,1.0,163.48721,0.88053274,0,0.8025387,276.45987,-0.25027344,0.8442163
2012-03-07T03:00:00Z,43.339286234347675,-5.858834520544583,0.99,69.43665,0.17960787,0,0.8049469,276.27414,-0.16816406,-0.063085936
2012-03-07T04:00:00Z,43.339286234347675,-5.858834520544583,0.99,146.48758,0.35291138,0,0.800791,276.3638,-0.19484863,0.2942456
2012-03-07T05:00:00Z,43.339286234347675,-5.858834520544583,1.0,63.252525,0.12448454,0,0.8020305,276.65524,-0.11116455,-0.05602539
2012-03-07T06:00:00Z,43.339286234347675,-5.858834520544583,1.0,101.931854,0.2700036,0,0.79943633,277.15942,-0.26416993,0.055822752
2012-03-07T07:00:00Z,43.339286234347675,-5.858834520544583,1.0,143.87015,0.28184235,0,0.80047697,277.47574,-0.1661792,0.22763915
2012-03-07T08:00:00Z,43.339286234347675,-5.858834520544583,1.0,154.74861,0.5754026,0,0.7904969,278.15488,-0.24546142,0.5204199
2012-03-07T09:00:00Z,43.339286234347675,-5.858834520544583,1.0,165.48161,0.2791408,0,0.7711203,280.06488,-0.06997803,0.27022704
2012-03-07T10:00:00Z,43.339286234347675,-5.858834520544583,0.99,159.53543,0.88599205,0,0.49872658,283.88855,-0.30976808,0.8300757
2012-03-07T11:00:00Z,43.339286234347675,-5.858834520544583,0,283.86505,1.5042043,0,0.5072156,286.11862,1.460376,-0.3604614
2012-03-07T12:00:00Z,43.339286234347675,-5.858834520544583,1.0,293.4968,3.1742563,0,0.56475973,287.27136,2.9110546,-1.2655689
2012-03-07T13:00:00Z,43.339286234347675,-5.858834520544583,1.0,307.0165,2.793533,0,0.61740774,287.16614,2.2305298,-1.6818335
2012-03-07T14:00:00Z,43.339286234347675,-5.858834520544583,0,298.01233,3.1652982,0,0.6643409,288.02774,2.7944727,-1.4866186
2012-03-07T15:00:00Z,43.339286234347675,-5.858834520544583,0.99,296.23108,4.068242,0,0.6991375,288.65057,3.6492896,-1.7981323
2012-03-07T16:00:00Z,43.339286234347675,-5.858834520544583,1.0,307.44418,3.3439882,0,0.82103276,287.39487,2.6549463,-2.0331054
2012-03-07T17:00:00Z,43.339286234347675,-5.858834520544583,1.0,301.34863,4.0429893,0,0.85415465,286.40088,3.452783,-2.1033423
2012-03-07T18:00:00Z,43.339286234347675,-5.858834520544583,1.0,297.14902,4.7162046,0,0.9183793,285.4395,4.196586,-2.1520338
2012-03-07T19:00:00Z,43.339286234347675,-5.858834520544583,1.0,295.65234,4.8622274,0.216,0.9645746,285.0807,4.382993,-2.104905
2012-03-07T20:00:00Z,43.339286234347675,-5.858834520544583,1.0,302.60464,4.6898656,0.539,0.9731293,284.7364,3.9507837,-2.5270824
2012-03-07T21:00:00Z,43.339286234347675,-5.858834520544583,1.0,315.5864,3.4098125,0.306,0.9757715,284.3608,2.386299,-2.4356518
2012-03-07T22:00:00Z,43.339286234347675,-5.858834520544583,1.0,308.56454,2.9777536,0.70300007,0.98644847,284.1062,2.3283253,-1.8563184
2012-03-07T23:00:00Z,43.339286234347675,-5.858834520544583,1.0,359.775,4.189305,0.30700004,0.95671636,283.45306,0.016452637,-4.1892724
2012-03-08T00:00:00Z,43.339286234347675,-5.858834520544583,1.0,11.54974,3.4438922,0,0.9578738,282.8508,-0.68953127,-3.3741577
2012-03-08T01:00:00Z,43.339286234347675,-5.858834520544583,0.8008813,20.732546,3.390569,0,0.97905624,282.31732,-1.2002832,-3.171006
2012-03-08T02:00:00Z,43.339286234347675,-5.858834520544583,1.0,37.44479,2.786675,0,0.96825117,281.91193,-1.6942896,-2.2124512
2012-03-08T03:00:00Z,43.339286234347675,-5.858834520544583,0,69.92499,2.2231688,0,0.96107775,281.6958,-2.088098,-0.763103
2012-03-08T04:00:00Z,43.339286234347675,-5.858834520544583,0.9007898,66.52334,1.3476969,0,0.98661387,280.88913,-1.2361377,-0.5368897
2012-03-08T05:00:00Z,43.339286234347675,-5.858834520544583,0.92437625,65.49389,2.8661127,0,0.93187255,281.0867,-2.6079247,-1.1888355
2012-03-08T06:00:00Z,43.339286234347675,-5.858834520544583,0,85.15205,2.275962,0,0.9305946,280.90332,-2.26782,-0.19234619
2012-03-08T07:00:00Z,43.339286234347675,-5.858834520544583,0,87.19225,1.7523869,0,0.964084,279.11093,-1.7502832,-0.085839845
2012-03-08T08:00:00Z,43.339286234347675,-5.858834520544583,0,110.34949,1.8994136,0,0.8552587,280.9638,-1.7808691,0.6605127
2012-03-08T09:00:00Z,43.339286234347675,-5.858834520544583,0,90.93446,1.5905557,0,0.7512131,282.61093,-1.5903442,0.025939941
2012-03-08T10:00:00Z,43.339286234347675,-5.858834520544583,0.98,53.3205,1.8829913,0,0.6944363,283.5635,-1.5101391,-1.1247827
2012-03-08T11:00:00Z,43.339286234347675,-5.858834520544583,0,48.321102,2.9566426,0,0.6489322,284.8163,-2.2082665,-1.9660351
2012-03-08T12:00:00Z,43.339286234347675,-5.858834520544583,0,42.913666,3.602834,0,0.6428847,285.45886,-2.4531543,-2.638645
2012-03-08T13:00:00Z,43.339286234347675,-5.858834520544583,0,47.5444,3.8258235,0,0.6084292,286.1077,-2.8226953,-2.5825024
2012-03-08T14:00:00Z,43.339286234347675,-5.858834520544583,0,52.897026,4.4230123,0,0.61840206,286.41418,-3.5275855,-2.6681788
2012-03-08T15:00:00Z,43.339286234347675,-5.858834520544583,0,46.125824,4.4946504,0,0.6405455,286.15643,-3.2400293,-3.1151392
2012-03-08T16:00:00Z,43.339286234347675,-5.858834520544583,0,55.480698,4.8627944,0,0.6849324,285.33212,-4.0066285,-2.7556665
2012-03-08T17:00:00Z,43.339286234347675,-5.858834520544583,0,59.539223,4.659089,0,0.76124376,283.94812,-4.0160255,-2.3619165
2012-03-08T18:00:00Z,43.339286234347675,-5.858834520544583,0,60.95045,4.3380394,0,0.82386565,282.20026,-3.7923145,-2.1064038
2012-03-08T19:00:00Z,43.339286234347675,-5.858834520544583,0.76,70.64721,3.3777847,0,0.85654783,281.00693,-3.1869264,-1.1193433
2012-03-08T20:00:00Z,43.339286234347675,-5.858834520544583,0,69.68795,3.5801504,0,0.86163324,280.405,-3.357522,-1.2427881
2012-03-08T21:00:00Z,43.339286234347675,-5.858834520544583,0,72.22389,4.1004534,0,0.82522064,280.23755,-3.904685,-1.2518604
